Sherwin-Williams,$81.94 B,$322.03 ,USA
SHW,,,
,,,
State Bank of India,$81.77 B,$9.16 ,India
SBIN.NS,,,
,,,
Porsche,$81.52 B,$89.49 ,Germany
P911.DE,,,
,,,
Life Insurance Corporation of India (LIC),$81.40 B,$12.87 ,India
LICI.NS,,,
,,,
Atlas Copco,$81.10 B,$14.96 ,Sweden
ATCO-B.ST,,,
,,,
Canadian Pacific Railway,$80.76 B,$86.52 ,Canada
CP,,,
,,,
Workday,$80.44 B,$305.88 ,USA
WDAY,,,
,,,
Bharti Airtel,$80.15 B,$13.59 ,India
BHARTIARTL.NS,,,
,,,
Stellantis,$80.14 B,$26.51 ,Netherlands
STLA,,,
,,,
Hitachi,$79.36 B,$85.65 ,Japan
6501.T,,,
,,,
Intercontinental Exchange,$79.23 B,$138.38 ,USA
ICE,,,
,,,
AXA,$78.75 B,$34.97 ,France
CS.PA,,,
,,,
CME Group,$78.46 B,$217.96 ,USA
CME,,,
,,,
Illinois Tool Works,$77.72 B,$260.13 ,USA
ITW,,,
,,,
Bank Central Asia,$77.69 B,$0.63 ,Indonesia
BBCA.JK,,,
,,,
Zurich Insurance Group,$76.95 B,$525.78 ,Switzerland
ZURN.SW,,,
,,,
Wuliangye Yibin,$76.45 B,$19.70 ,China
000858.SZ,,,
,,,
BMW,$76.15 B,$115.52 ,Germany
BMW.DE,,,
,,,
Investor AB,$76.14 B,$25.20 ,Sweden
INVE-B.ST,,,
,,,
Snowflake,$75.40 B,$229.34 ,USA
SNOW,,,
,,,
CSX Corporation,$75.09 B,$38.33 ,USA
CSX,,,
,,,
General Dynamics,$75.00 B,$273.75 ,USA
GD,,,
,,,
Ferrari,$74.98 B,$416.07 ,Italy
RACE,,,
,,,
Merck KGaA,$74.83 B,$172.13 ,Germany
MRK.DE,,,
,,,
CrowdStrike,$74.80 B,$311.49 ,USA
CRWD,,,
,,,
Equinor,$74.22 B,$25.21 ,Norway
EQNR,,,
,,,
Enbridge,$74.09 B,$34.80 ,Canada
ENB,,,
,,,
Southern Company,$73.78 B,$67.69 ,USA
SO,,,
,,,
Marriott International,$72.79 B,$251.48 ,USA
MAR,,,
,,,
China Telecom,$72.71 B,$0.55 ,China
0728.HK,,,
,,,
Chipotle Mexican Grill,$72.57 B,"$2,647 ",USA
CMG,,,
,,,
Volkswagen,$72.54 B,$134.24 ,Germany
VOW3.DE,,,
,,,
Altria Group,$72.53 B,$41.13 ,USA
MO,,,
,,,
Vinci,$72.14 B,$126.40 ,France
DG.PA,,,
,,,
BYD,$72.02 B,$25.39 ,China
002594.SZ,,,
,,,
Iberdrola,$71.84 B,$11.51 ,Spain
IBE.MC,,,
,,,
Thomson Reuters,$71.75 B,$158.29 ,Canada
TRI,,,
,,,
Duke Energy,$71.46 B,$92.73 ,USA
DUK,,,
,,,
Sumitomo Mitsui Financial Group,$71.25 B,$10.80 ,Japan
SMFG,,,
,,,
Becton Dickinson,$71.12 B,$246.20 ,USA
BDX,,,
,,,
Canadian Natural Resources,$71.12 B,$65.32 ,Canada
CNQ,,,
,,,
Colgate-Palmolive,$70.99 B,$86.25 ,USA
CL,,,
,,,
Walmex,$70.96 B,$4.06 ,Mexico
WMMVF,,,
,,,
LG Energy Solution,$70.73 B,$302.27 ,S. Korea
373220.KS,,,
,,,
Moody's,$70.16 B,$385.51 ,USA
MCO,,,
,,,
NetEase,$70.07 B,$108.65 ,China
NTES,,,
,,,
BNP Paribas,$70.04 B,$61.05 ,France
BNP.PA,,,
,,,
Target,$69.93 B,$151.48 ,USA
TGT,,,
,,,
Schlumberger,$69.66 B,$48.82 ,USA
SLB,,,
,,,
National Australia Bank,$69.35 B,$22.22 ,Australia
NAB.AX,,,
,,,
Northrop Grumman,$69.18 B,$461.10 ,USA
NOC,,,
,,,
Bank of Montreal,$68.51 B,$94.92 ,Canada
BMO,,,
,,,
British American Tobacco,$68.21 B,$30.50 ,UK
BTI,,,
,,,
Parker-Hannifin,$68.19 B,$531.07 ,USA
PH,,,
,,,
Hindustan Unilever,$67.91 B,$28.90 ,India
HINDUNILVR.NS,,,
,,,
McKesson,$67.83 B,$516.24 ,USA
MCK,,,
,,,
The Saudi National Bank,$67.63 B,$11.38 ,S. Arabia
1180.SR,,,
,,,
Itaú Unibanco,$66.97 B,$6.85 ,Brazil
ITUB,,,
,,,
TransDigm,$66.72 B,"$1,200 ",USA
TDG,,,
,,,
Siemens Healthineers,$65.97 B,$59.13 ,Germany
SHL.DE,,,
,,,
Postal Savings Bank of China,$65.76 B,$0.69 ,China
601658.SS,,,
,,,
Santander,$65.65 B,$4.10 ,Spain
SAN,,,
,,,
Enel,$65.50 B,$6.45 ,Italy
ENEL.MI,,,
,,,
ADNOC Gas,$65.40 B,$0.85 ,euUAE
ADNOCGAS.AE,,,
,,,
Nintendo,$65.37 B,$55.96 ,Japan
7974.T,,,
,,,
EOG Resources,$65.23 B,$111.86 ,USA
EOG,,,
,,,
DBS Group,$65.10 B,$25.18 ,Singapore
D05.SI,,,
,,,
Meituan,$64.94 B,$10.42 ,China
3690.HK,,,
,,,
Sberbank,$64.81 B,$2.98 ,Russia
SBER.ME,,,
,,,
Mitsui Bussan,$64.66 B,$43.19 ,Japan
8031.T,,,
,,,
Brookfield Corporation,$64.52 B,$41.25 ,Canada
BN,,,
,,,
Amphenol,$64.46 B,$107.47 ,USA
APH,,,
,,,
U.S. Bancorp,$64.44 B,$41.36 ,USA
USB,,,
,,,
Nongfu Spring,$64.25 B,$5.71 ,China
9633.HK,,,
,,,
Cintas,$64.17 B,$633.10 ,USA
CTAS,,,
,,,
Itōchū Shōji,$64.08 B,$44.45 ,Japan
8001.T,,,
,,,
Trane Technologies,$63.99 B,$281.82 ,Ireland
TT,,,
,,,
KDDI,$63.94 B,$30.61 ,Japan
9433.T,,,
,,,
Dell,$63.81 B,$90.35 ,USA
DELL,,,
,,,
SABIC,$63.54 B,$21.18 ,S. Arabia
2010.SR,,,
,,,
Southern Copper,$63.41 B,$82.03 ,USA
SCCO,,,
,,,
PayPal,$63.40 B,$59.16 ,USA
PYPL,,,
,,,
Ecolab,$63.39 B,$222.34 ,USA
ECL,,,
,,,
Apollo Global Management,$63.36 B,$111.61 ,USA
APO,,,
,,,
Phillips 66,$62.93 B,$147.11 ,USA
PSX,,,
,,,
Rosneft,$62.83 B,$5.98 ,Russia
ROSN.ME,,,
,,,
Daiichi Sankyō,$62.66 B,$32.68 ,Japan
4568.T,,,
,,,
Aon,$62.52 B,$315.32 ,UK
AON,,,
,,,
O'Reilly Automotive,$62.50 B,"$1,058 ",USA
ORLY,,,
,,,
Munich RE (Münchener Rück),$62.40 B,$458.36 ,Germany
MUV2.DE,,,
,,,
Marathon Petroleum,$62.39 B,$169.54 ,USA
MPC,,,
,,,
ITC,$61.98 B,$4.97 ,India
ITC.NS,,,
,,,
Chugai Pharmaceutical,$61.77 B,$37.54 ,Japan
4519.T,,,
,,,
Dassault Systèmes,$61.58 B,$46.91 ,France
DSY.PA,,,
,,,
NXP Semiconductors,$61.56 B,$238.85 ,Netherlands
NXPI,,,
,,,
Alimentation Couche-Tard,$61.55 B,$63.88 ,Canada
ATD.TO,,,
,,,
Recruit,$61.06 B,$39.36 ,Japan
6098.T,,,
,,,
FedEx,$60.83 B,$243.46 ,USA
FDX,,,
,,,
London Stock Exchange,$60.61 B,$112.99 ,UK
LSEG.L,,,
,,,
Emerson,$60.54 B,$105.91 ,USA
EMR,,,
