IND,1428627663
CHN,1425671352
USA,339996563
IDN,277534122
PAK,240485658
NGA,223804632
BRA,216422446
RUS,144444359
MEX,128455567
JPN,123294513
PHL,117337368
EGY,112716598
VNM,98858950
TUR,85816199
DEU,83294633
THA,71801279
GBR,67736802
FRA,64756584
ZAF,60414495
ITA,58870762
COL,52085168
KOR,51784059
ESP,47519628
ARG,45773884
POL,41026067
CAN,38781291
SAU,36947025
UKR,36744634
PER,34352719
MYS,34308525
AUS,26439111
TWN,23923276
ROU,19892812
CHL,19629590
KAZ,19606633
NLD,17618299
BEL,11686140
SWE,10612086
CZE,10495295
GRC,10341277
PRT,10247605
HUN,10156239
ARE,9516871
ISR,9174520
AUT,8958960
CHE,8796669
HKG,7491609
SRB,7149077
BGR,6687717
SGP,6014723
DNK,5910913
SVK,5795199
FIN,5545475
NOR,5474360
LBN,5353930
NZL,5228100
IRL,5056935
OMN,4644384
PAN,4468087
KWT,4310108
LTU,2718352
QAT,2716391
SVN,2119675
LVA,1830211
EST,1322765
LUX,654768
